screenName,followersCount,verified,friendsCount
lianacorzo,1459,0,1977
LunarEscondido,139,0,90
JackelineFaby,1016,0,1807
vickytekilera31,464,0,311
paolalimias,309,0,728
winneruffles,610,0,223
MarielaruffoP,146,0,699
mariafetb,891,0,1238
eli_illescas,429,0,194
eamorpravaler,2243,0,1550
RuffoFansEsp,3212,0,557
jamie_luna,45,0,1359
JuanDiegoFdez,91,0,648
RuffoAbby,360,0,802
Cabezasheads,16,0,297
dborah_gabby,483,0,1122
xcljlibra,71,0,398
raysaevick,126,0,140
ninelvi,80,0,181
talitacastro45,185,0,460
GemmaHogaza,766,0,187
brujitasruffo,113,0,151
perronitaspanic,14390,0,10239
elliz31,6,0,38
NoNoAlCocoNo,132,0,92
melanie2504,934,0,740
alondrapotter16,45,0,127
ALMACARBAJAL,657,0,649
PANCHOACOSTLEOS,227,0,309
dama_crufus,99,0,221
AriannaJesuss,1505,0,331
ElisaJunqueiraa,755,0,491
Ruffo_victoria7,723,0,714
luisinavf,62,0,217
69Joseane,251,0,500
Estefanymony,958,0,1165
SamaraGodinho91,367,0,615
mariaso18961681,262,0,1053
pjara754,47,0,151
symarajesus,548,0,1054
Aleh_Araujo2,364,0,478
0jit0s_87,1145,0,533
alondrabru,1079,0,1986
elba_casti,675,0,451
Eduarda_Maria31,504,0,1409
karenvicky0631,717,0,658
ikarlyta,231,0,286
FauBarbara,115,0,174
ClaraOlliver,910,0,750
criss_Ecuador,435,0,363
ilsegpd,547,0,477
Maria_vs_23,517,0,1114
Maria_JAlf,369,0,188
celinethereason,275,0,124
17Moni20,1354,0,1968
jaquelinegalv,3246,0,3201
PaolitaaaAwiwis,1731,0,1729
nythapaula,281,0,240
ThalyaThuany,378,0,202
jey1819,260,0,131
RuffoAnny16,263,0,527
Camila80Paixao,59,0,91
TataRuffo,1399,0,1595
ITgrace26,669,0,544
rhaysinhagomes,540,0,729
RitzysG,2899,0,2167
Livy_Ruffo,586,0,573
MaciasNallely,191,0,829
keeehalves,529,0,120
RuffoFurlerS2,404,0,505
RuffoLunitas,1494,0,90
__Silviia__,1158,0,191
RateroDeTuits,130,0,94
victoriaruffo31,480183,1,204
UrBeat_com,2487,0,1942
chalexcast,110,0,183
apezet,8635,0,2634
LorenaEnAmor,3728,0,987
fesugu,133,0,654
_harmonykorine,213,0,332
EduardoAntuneez,194,0,416
nanameli20001,95,0,795
AlambreDeCobre,131,0,90
maletrejoflores,60,0,169
gabirey2385,1344,0,494
jceggen,3029,0,441
CielitoPurpura,158,0,127
LaraPaola1,3867,0,1755
MimoConVoz,232,0,214
Alo_Bautiister,568,0,1615
karlajmnz,165,0,304
FondoMaria,4544,0,2211
Natalie_Pecas,224,0,216
cruzrojasinaloa,1261,0,459
PTARsAclara,118,0,251
VivianaDelVal15,11,0,220
jfespinola,1503,0,698
Quesitoxxx,224,0,201
LACGoficial,151,0,987
Huache__,163,0,118
Jonatan8Sanchez,70,0,69
LaSuperTuna,244,0,254
alonsoj2,744,0,1045
JACV1968,308,0,1348
kde21,385,0,669
AguirreTrevino,391,0,2007
SapoteVerde,267,0,251
leotb79,289,0,331
KaratecaMuerto,262,0,273
maryantonieta44,443,0,688
TavoDelion,21,0,43
silviajustinaca,228,0,2002
JuanAndresRosas,289,0,288
Louis_Velazquez,721,0,851
anaavaalee,165,0,157
Davicho87543106,2,0,9
leyva_59,5,0,51
Warroholic,291,0,296
VEROBERRIOS,6073,0,199
PlenitudeVida,193,0,384
rurururuben,221,0,534
ElMangoRojo,196,0,255
CachoGuerra,103,0,167
hannia_mtz,354,0,292
RAFNAI1,78,0,170
Alejaandragil,513,0,1171
safe2chooseESP,996,0,1747
Gabmmil,96,0,209
aangiex,197,0,788
CarmensaMensa,430,0,450
RommyLo,691,0,576
andrearamosst,708,0,610
moralesyo,2935,0,1545
CocinaCaracola,15,0,20
Fundacion_EBC,1071,0,290
LenguaRomantica,261,0,284
kukitanina,23,0,118
halejandra780,33,0,118
rebecadealba,459767,0,187
grace_gzz,67,0,127
mel_coconuts,192,0,106
Katty_LaOruga,331,0,358
MfernandezAcir,1748,0,574
CiudaDanaMtySur,52275,0,228
glorixa,269,0,1590
UnaTontaSinAmor,434,0,484
Bdelarosa_,151,0,168
robialva,215,0,300
saulreyescalle2,234,0,346
JavaaanG,334,0,7
serajac,839,0,258
royett,508,0,434
cepp1991,21,0,87
Paurius,226,0,399
Mujer_Meditando,600,0,646
carmelapirez,379,0,586
Lavillaro,213,0,291
chmoratrevino,5,0,25
orto_integral,2809,0,1221
TraficoPuebla,14128,0,57
NenaValadez,3,0,78
clau_zapata76,90,0,118
mariorivas78,41,0,85
IvethTavares,2,0,47
danizaguirre,625,0,1045
maria_tejedo,202,0,224
jessicachv911,89,0,289
UlicsZaico,707,0,1075
RoseteJavier,168,0,226
Rincontiernita,973,0,1150
liliperezmoreno,516,0,755
paco_dua,385,0,603
JiimeBarona,178,0,160
JenniMozha,77,0,160
gabrielolivar12,262,0,216
Eduu_Rebel,384,0,536
loviwi,23,0,59
tony_carde,314,0,305
Tolopieur,480,0,697
Tequila_meencan,339,0,340
SSendero,303,0,297
silviazuru,515,0,754
SebasNanoo,326,0,376
Samiibombita,598,0,608
RuloCruzP,59,0,167
edwardpala,701,0,1506
Diegomiramo,378,0,480
destro_wolf,360,0,493
Edmuflour,363,0,463
Dannunino,906,0,1055
Cristabellarano,61,0,157
Valerieeaou,1418,0,1534
Usiiost,883,0,907
pepebarnino,167,0,151
Manolotro,381,0,580
juancarlosp_VR,367,0,489
emalova,102,0,295
GoldLeoo,362,0,410
AlvarezDioni,154,0,199
viewsfromjoe23,82,0,582
Pericuapa_Vale,720,0,1173
maucicio1,329,0,210
kerekatu,718,0,1204
Goretti_P,429,0,323
amarantareyes,56,0,215
_karura,449,0,334
renecitolarana,176,0,167
oscarpaesruiz,31,0,146
Lic_Emiliano,380,0,317
cesarmarcialv,494,0,917
alfredperz88,33,0,94
AMIB_Valores,1059,0,91
gracielazenten_,113,0,273
t_discapacidad,311,0,371
Blast_Caos,64,0,105
Sofi_zf,9,0,36
Fayoradioactive,138,0,164
pauacevedosc,10,0,18
ivansanchezpz,238,0,782
Violeta_Rasta,53,0,103
Tabatha_lagata,50,0,71
sol_matias,33,0,176
so_fas17,48,0,181
rojasesteba,13,0,165
RegginaMarino,52,0,103
rastekka,59,0,51
QuirozMarifer,14,0,170
paucuevas19,70,0,198
paquito_rodri,23,0,172
pacco_gerte,47,0,84
orope1,26,0,144
moniienriquez,50,0,207
ZorritaRoja,311,0,380
Marianna_zzz,56,0,40
MickyrivAngel,16,0,157
marino_reggina,59,0,150
LuzAguileraRamo,46,0,110
luna_xabi,16,0,131
LizziEspinosa,48,0,68
Karlitamiranda5,26,0,175
LimaLucilu12,28,0,172
Karlo5_Garcia,55,0,92
Jois_Orozco,61,0,70
johan_zzz,60,0,134
jakentuky,54,0,97
hugoplata10,10,0,144
Gonzzalojimenez,16,0,169
gis_guzman,23,0,155
flo_ramon,21,0,182
espejuaranza,25,0,140
EloMart16,12,0,122
ElenyCasarubias,30,0,168
dominadrian012,19,0,156
DiegoAguil3ra,5,0,44
CincoPete1,56,0,123
Charlie37068145,51,0,119
CelesteGranado2,6,0,89
carolineelara22,2,0,20
CarinaHernadez,44,0,204
CallesSocorro,16,0,146
CabreraJas,10,0,118
brenda_maldo,47,0,184
armand_franco,20,0,170
ArreMara,39,0,149
areli_parra,29,0,176
AnaPaulaBetanco,31,0,159
alonso_ggg,35,0,42
Alexxxandra4,47,0,101
aguas_chema,41,0,48
AggiePerez,19,0,150
StephVargas5687,14,0,58
florecitamaya,162,0,264
Alex_loz20,31,0,190
_ALFROMAN,290,0,156
Flor_sin_olor,465,0,576
PronaturaNoroes,552,0,496
PinaGaby,9499,0,1300
StoesselftCD9,333,0,238
aangieSwift,64,0,134
YaneliDelson,493,0,663
ValerieAlgoAsi,371,0,352
AliciaAlarcon,24047,0,2088
LuiRodo,2,0,16
SolaEllaBaila,30842,0,483
5soswhitesidesx,9746,0,8745
VivoEnCiudad,321,0,65
BereniceFdez,83,0,138
nat_believe3,904,0,1848
DAFNEGUZMAN2,182,0,240
amarantaviteri,282,0,693
mexanticorrupc,382,0,607
BmoAndrea,1247,0,2008
FundVidaSana,190,0,1695
_debbytommo1D_,2241,0,1761
adry_jm,91,0,97
america01653054,267,0,433
_AbejaReyna,5907,0,2629
fxdeleone,118,0,410
lauraflores_17,360,0,599
Marhta_,287,0,182
MaiteVenegas57,16,0,60
Autlan_CRM,207,0,324
yomeratescribo,1471,0,1028
alina_sovrea,73,0,158
Dalii_Ruiiz,16,0,53
mexservices,645,0,1395
thStarWarsDude,242,0,768
KiddysplaceMx,915,0,951
LupinaLoperena,238,0,804
TereVenguer,46,0,37
CarlosColon91,277,0,492
FNavarroSanchez,777,0,1638
_unidos_,5785,0,4373
luzcrristina,48,0,96
tfal_983,11,0,31
Jonthha,39,0,42
soflapina,378,0,479
paulinacampos,3011,0,304
JonnyDelgadillo,94,0,91
d_serCh,39,0,100
mongutza,25,0,45
lugamoto,47,0,105
joltrexomar,1116,0,1232
urvin13740,264,0,540
ChemaDesigner,516,0,131
aitzury_ruiz,130,0,314
angieivera0209,7,0,8
IslaUrbana,2941,0,526
hectorigo,243,0,1275
FundacionSFJ,96,0,155
Annicee,462,0,1442
ChicoGomezH,171,0,250
sy_so4,1611,0,2001
juanesilva,328,0,332
maria_morfin,162,0,295
CalvilloAdry,77,0,98
777_gabriela,182,0,584
shelbymaniac,1708,0,1584
lilianava1979,21,0,109
LaJugarreta1,138,0,358
meraguilar,93,0,132
vdelcastillotv,115294,1,1555
CruzRojaHuixqui,2274,0,220
DcosCompartidos,883,0,244
UnNuevoSolDown,1189,0,1763
ObservaCampeche,603,0,578
annuar_vega,58,0,134
yonofuilojuro,462,0,2000
RodJimVal,144,0,387
juanferO_o,338,0,279
PonteOreja,339,0,19
addypalval,173,0,228
dany_violeta,70,0,52
Gis_LovesSellyG,69,0,141
Ruth_Ortiz_25,572,0,625
FRentertainLive,122,0,477
